Year,County,GDPPC
2005,Longshan,3469.00
2005,Changsha,24612.00
2005,Wangcheng,14659.00
2005,Ningxiang,11687.00
2005,Liuyang,13406.00
2005,Zhuzhou,8546.00
2005,You,10944.00
2005,Chaling,8040.00
2005,Yanling,7383.00
2005,Liling,11688.00
2005,Xiangtan,7246.00
2005,Xiangxiang,7866.00
2005,Shaoshan,14381.00
2005,Hengyang,7246.00
2005,Hengnan,8217.00
2005,Hengshan,8035.00
2005,Hengdong,8066.00
2005,Qidong,8000.00
2005,Leiyang,8965.00
2005,Changning,7906.00
2005,Shaodong,6752.00
2005,Xinshao,4357.00
2005,Shaoyang,3609.00
2005,Longhui,3677.00
2005,Dongkou,5375.00
2005,Suining,7369.00
2005,Xinning,4024.00
2005,Chengbu,5897.00
2005,Wugang,4889.00
2005,Yueyang,7936.00
2005,Huarong,7234.00
2005,Xiangyin,9496.00
2005,Pingjiang,5817.00
2005,Miluo,8677.00
2005,Linxiang,7708.00
2005,Anxiang,8184.00
2005,Hanshou,6560.00
2005,Li,8394.00
2005,Linli,8850.00
2005,Taoyuan,8407.00
2005,Shimen,9244.00
2005,Jinshi,9956.00
2005,Cili,5703.00
2005,Sangzhi,4545.00
2005,Nan,6376.00
2005,Taojiang,5640.00
2005,Anhua,4411.00
2005,Yuanjiang,8681.00
2005,Guiyang,8933.00
2005,Yizhang,8428.00
2005,Yongxing,9494.00
2005,Jiahe,9622.00
2005,Linwu,11651.00
2005,Rucheng,8534.00
2005,Guidong,4528.00
2005,Anren,7423.00
2005,Zixing,16471.00
2005,Qiyang,7487.00
2005,Dongan,7374.00
2005,Shuangpai,8693.00
2005,Dao,6040.00
2005,Jiangyong,5977.00
2005,Ningyuan,4297.00
2005,Lanshan,6223.00
2005,Xintian,5272.00
2005,Jianghua,5420.00
2005,Zhongfang,7420.00
2005,Yuanling,7488.00
2005,Chenxi,4432.00
2005,Xupu,4670.00
2005,Huitong,4439.00
2005,Mayang,4177.00
2005,Xinhuang,4245.00
2005,Zhijiang,5315.00
2005,Jingzhou,5891.00
2005,Tongdao,3885.00
2005,Hongjiang,5514.00
2005,Shuangfeng,5868.00
2005,Xinhua,3390.00
2005,Lengshuijiang,18478.00
2005,Lianyuan,5959.00
2005,Jishou,12970.00
2005,Luxi,3701.00
2005,Fenghuang,3770.00
2005,Huayuan,6784.00
2005,Baojing,4612.00
2005,Guzhang,3893.00
2005,Yongshun,3315.00
2006,Longshan,3809.00
2006,Changsha,29407.00
2006,Wangcheng,17082.00
2006,Ningxiang,13647.00
2006,Liuyang,15631.00
2006,Zhuzhou,10116.00
2006,You,12356.00
2006,Chaling,9053.00
2006,Yanling,8059.00
2006,Liling,14000.00
2006,Xiangtan,8578.00
2006,Xiangxiang,9192.00
2006,Shaoshan,16565.00
2006,Hengyang,8068.00
2006,Hengnan,9173.00
2006,Hengshan,8964.00
2006,Hengdong,9249.00
2006,Qidong,8958.00
2006,Leiyang,10507.00
2006,Changning,9000.00
2006,Shaodong,8005.00
2006,Xinshao,4972.00
2006,Shaoyang,4064.00
2006,Longhui,3976.00
2006,Dongkou,6050.00
2006,Suining,8500.00
2006,Xinning,4533.00
2006,Chengbu,6325.00
2006,Wugang,5533.00
2006,Yueyang,9277.00
2006,Huarong,10802.00
2006,Xiangyin,10765.00
2006,Pingjiang,6570.00
2006,Miluo,10659.00
2006,Linxiang,8973.00
2006,Anxiang,10995.00
2006,Hanshou,7422.00
2006,Li,10304.00
2006,Linli,9855.00
2006,Taoyuan,9461.00
2006,Shimen,10556.00
2006,Jinshi,11223.00
2006,Cili,6463.00
2006,Sangzhi,5121.00
2006,Nan,7013.00
2006,Taojiang,6437.00
2006,Anhua,5048.00
2006,Yuanjiang,9894.00
2006,Guiyang,10439.00
2006,Yizhang,9752.00
2006,Yongxing,10978.00
2006,Jiahe,11021.00
2006,Linwu,12031.00
2006,Rucheng,9461.00
2006,Guidong,5548.00
2006,Anren,8832.00
2006,Zixing,18172.00
