"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,40,"KHM","Cambodia",1,"Bântéay Méanchey","KH.OM",NA,"","Khêt","Province","","Banteay Mean Cheay"
2,40,"KHM","Cambodia",2,"Batdâmbâng","KH.BA",NA,"","Khêt","Province","","Battambang|Baat Dambang|Bat Dâm Bâng"
3,40,"KHM","Cambodia",3,"Kâmpôt","KH.KP",NA,"","Khêt","Province","",""
4,40,"KHM","Cambodia",4,"Kâmpóng Cham","KH.KM",NA,"","Khêt","Province","","Kampong Chaam|Kompong Cham"
5,40,"KHM","Cambodia",5,"Kâmpóng Chhnang","KH.KG",NA,"","Khêt","Province","","Kompong Chnang"
6,40,"KHM","Cambodia",6,"Kâmpóng Spœ","KH.KS",NA,"","Khêt","Province","","Kampong Speu|Kompong Speu|Kompong Spueu"
7,40,"KHM","Cambodia",7,"Kâmpóng Thum","KH.KT",NA,"","Khêt","Province","","Kampong Thom|Kompong Thom"
8,40,"KHM","Cambodia",8,"Kândal","KH.KN",NA,"","Khêt","Province","","Kandaal"
9,40,"KHM","Cambodia",9,"Kaôh Kong","KH.KK",NA,"","Khêt","Province","","Koh Kong"
10,40,"KHM","Cambodia",10,"Kep","KH",NA,"","Khêt","Province","","Keb"
11,40,"KHM","Cambodia",11,"Krâchéh","KH.KH",NA,"","Khêt","Province","","Kratie|Kratié|Kratiê|Krâ Chéh|Krachen"
12,40,"KHM","Cambodia",12,"Krong Pailin","KH.PL",NA,"","Municipality","Municipality","","Pailin"
13,40,"KHM","Cambodia",13,"Krong Preah Sihanouk","KH.KA",NA,"","Krong","Municipality","","Sihanoukville|Kampong Som|Kampong Saom"
14,40,"KHM","Cambodia",14,"Môndól Kiri","KH.MK",NA,"","Khêt","Province","","Mondul Kiri|Mondolkiri|Môndul Kiri"
15,40,"KHM","Cambodia",15,"Otdar Mean Chey","KH.OC",NA,"","Khêt","Province","","Oddâr Méanchey"
16,40,"KHM","Cambodia",16,"Phnom Penh","KH.PP",NA,"","Municipality","Municipality","","Phnum Pénh"
17,40,"KHM","Cambodia",17,"Pouthisat","KH.PO",NA,"","Khêt","Province","","Pursat"
18,40,"KHM","Cambodia",18,"Preah Vihéar","KH.PH",NA,"","Khêt","Province","",""
19,40,"KHM","Cambodia",19,"Prey Vêng","KH.PY",NA,"","Khêt","Province","","Prey Veaeng"
20,40,"KHM","Cambodia",20,"Rôtânôkiri","KH.RO",NA,"","Khêt","Province","","Ratana Kiri|Râtanakiri|Rotanah Kiri|Rotanak Kiri"
21,40,"KHM","Cambodia",21,"Siemréab","KH.SI",NA,"","Khêt","Province","","Siem Reap|Siem Reab|Siem Réab|Siemreap"
22,40,"KHM","Cambodia",22,"Stœng Trêng","KH.ST",NA,"","Khêt","Province","","Stung Treng|Stueng Traeng|Stung Treng"
23,40,"KHM","Cambodia",23,"Svay Rieng","KH.SR",NA,"","Khêt","Province","","Soairieng|Svaay Rieng"
24,40,"KHM","Cambodia",24,"Takêv","KH.TA",NA,"","Khêt","Province","","Takeo|Taakaev|Takaev|Takeo"
25,40,"KHM","Cambodia",25,"Tbong Khmum","KH.TB",NA,"","Khêt","Province","",""
