"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,40,"KHM","Cambodia",1,"Bântéay Méanchey",1,"Malai","KH.OM.ML",NA,"","Srok","District","",""
2,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei","KH.OM.MB",NA,"","Srok","District","",""
3,40,"KHM","Cambodia",1,"Bântéay Méanchey",3,"Ou Chrov","KH.OM.OC",NA,"","Srok","District","",""
4,40,"KHM","Cambodia",1,"Bântéay Méanchey",4,"Phnum Srok","KH.OM.PS",NA,"","Srok","District","",""
5,40,"KHM","Cambodia",1,"Bântéay Méanchey",5,"Preah Netr Preah","KH.OM.PN",NA,"","Srok","District","",""
6,40,"KHM","Cambodia",1,"Bântéay Méanchey",6,"Serei Saophoan","KH.OM.SS",NA,"","Srok","District","",""
7,40,"KHM","Cambodia",1,"Bântéay Méanchey",7,"Svay Chek","KH.OM.SC",NA,"","Srok","District","",""
8,40,"KHM","Cambodia",1,"Bântéay Méanchey",8,"Thma Puok","KH.OM.TP",NA,"","Srok","District","",""
9,40,"KHM","Cambodia",2,"Batdâmbâng",9,"Aek Phnum","KH.BA.AP",NA,"","Srok","District","",""
10,40,"KHM","Cambodia",2,"Batdâmbâng",10,"Banan","KH.BA.BN",NA,"","Srok","District","",""
11,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang","KH.BA.BD",NA,"","Srok","District","","Batdambang"
12,40,"KHM","Cambodia",2,"Batdâmbâng",12,"Bavel","KH.BA.BV",NA,"","Srok","District","",""
13,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei","KH.BA.MR",NA,"","Srok","District","",""
14,40,"KHM","Cambodia",2,"Batdâmbâng",14,"Phnum Proek","KH.BA.PP",NA,"","Srok","District","",""
15,40,"KHM","Cambodia",2,"Batdâmbâng",15,"Rotanak Mondol","KH.BA.RM",NA,"","Srok","District","","Rotonak Mondol"
16,40,"KHM","Cambodia",2,"Batdâmbâng",16,"Samlout","KH.BA.ST",NA,"","Srok","District","",""
17,40,"KHM","Cambodia",2,"Batdâmbâng",17,"Sangkae","KH.BA.SK",NA,"","Srok","District","",""
18,40,"KHM","Cambodia",2,"Batdâmbâng",18,"Svay Pao","",NA,"","Srok","District","",""
19,40,"KHM","Cambodia",3,"Kâmpôt",19,"Angkor Chey","KH.KP.AC",NA,"","Srok","District","",""
20,40,"KHM","Cambodia",3,"Kâmpôt",20,"Banteay Meas","KH.KP.BM",NA,"","Srok","District","",""
21,40,"KHM","Cambodia",3,"Kâmpôt",21,"Chhuk","KH.KP.CH",NA,"","Srok","District","",""
22,40,"KHM","Cambodia",3,"Kâmpôt",22,"Chum Kiri","KH.KP.CK",NA,"","Srok","District","",""
23,40,"KHM","Cambodia",3,"Kâmpôt",23,"Dang Tong","KH.KP.DT",NA,"","Srok","District","",""
24,40,"KHM","Cambodia",3,"Kâmpôt",24,"Kampong Bay","KH.KP.KB",NA,"","Srok","District","",""
25,40,"KHM","Cambodia",3,"Kâmpôt",25,"Kampong Trach","KH.KP.KT",NA,"","Srok","District","",""
26,40,"KHM","Cambodia",3,"Kâmpôt",26,"Kampot","KH.KP.KP",NA,"","Srok","District","",""
27,40,"KHM","Cambodia",4,"Kâmpóng Cham",27,"Batheay","KH.KM.BT",NA,"","Srok","District","",""
28,40,"KHM","Cambodia",4,"Kâmpóng Cham",28,"Chamkar Leu","KH.KM.CL",NA,"","Srok","District","",""
29,40,"KHM","Cambodia",4,"Kâmpóng Cham",29,"Cheung Prey","KH.KM.CP",NA,"","Srok","District","",""
30,40,"KHM","Cambodia",4,"Kâmpóng Cham",30,"Kampong Cham","KH.KM.KP",NA,"","Srok","District","",""
31,40,"KHM","Cambodia",4,"Kâmpóng Cham",31,"Kampong Siem","KH.KM.KS",NA,"","Srok","District","",""
32,40,"KHM","Cambodia",4,"Kâmpóng Cham",32,"Kang Meas","KH.KM.KM",NA,"","Srok","District","",""
33,40,"KHM","Cambodia",4,"Kâmpóng Cham",33,"Kaoh Soutin","KH.KM.KT",NA,"","Srok","District","",""
34,40,"KHM","Cambodia",4,"Kâmpóng Cham",34,"Prey Chhor","KH.KM.PC",NA,"","Srok","District","",""
35,40,"KHM","Cambodia",4,"Kâmpóng Cham",35,"Srei Santhor","KH.KM.SS",NA,"","Srok","District","",""
36,40,"KHM","Cambodia",4,"Kâmpóng Cham",36,"Stueng Trang","KH.KM.ST",NA,"","Srok","District","",""
37,40,"KHM","Cambodia",5,"Kâmpóng Chhnang",37,"Baribour","KH.KG.BB",NA,"","Srok","District","",""
38,40,"KHM","Cambodia",5,"Kâmpóng Chhnang",38,"Chol Kiri","KH.KG.CK",NA,"","Srok","District","",""
39,40,"KHM","Cambodia",5,"Kâmpóng Chhnang",39,"Kampong Chhnang","KH.KG.KC",NA,"","Srok","District","",""
