"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,40,"KHM","Cambodia",1,"Bântéay Méanchey",1,"Malai",1,"n.a. ( 192)",NA,"","Khum","Commune","",""
2,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",2,"Banteay Neang",NA,"","Khum","Commune","",""
3,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",3,"Bat Trang",NA,"","Khum","Commune","",""
4,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",4,"Chamnaom",NA,"","Khum","Commune","",""
5,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",5,"Kouk Ballangk",NA,"","Khum","Commune","",""
6,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",6,"Koy Maeng",NA,"","Khum","Commune","",""
7,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",7,"Ou Prasat",NA,"","Khum","Commune","",""
8,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",8,"Phnum Touch",NA,"","Khum","Commune","",""
9,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",9,"Rohat Tuek",NA,"","Khum","Commune","",""
10,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",10,"Ruessei Kraok",NA,"","Khum","Commune","",""
11,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",11,"Sambuor",NA,"","Khum","Commune","",""
12,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",12,"Soea",NA,"","Khum","Commune","",""
13,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",13,"Srah Reang",NA,"","Khum","Commune","",""
14,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",14,"Ta Lam",NA,"","Khum","Commune","",""
15,40,"KHM","Cambodia",1,"Bântéay Méanchey",3,"Ou Chrov",15,"Changha",NA,"","Khum","Commune","",""
16,40,"KHM","Cambodia",1,"Bântéay Méanchey",3,"Ou Chrov",16,"Koub",NA,"","Khum","Commune","",""
17,40,"KHM","Cambodia",1,"Bântéay Méanchey",3,"Ou Chrov",17,"Kuttasat",NA,"","Khum","Commune","",""
18,40,"KHM","Cambodia",1,"Bântéay Méanchey",3,"Ou Chrov",18,"Nimitt",NA,"","Khum","Commune","",""
19,40,"KHM","Cambodia",1,"Bântéay Méanchey",3,"Ou Chrov",19,"Samraong",NA,"","Khum","Commune","",""
20,40,"KHM","Cambodia",1,"Bântéay Méanchey",3,"Ou Chrov",20,"Soengh",NA,"","Khum","Commune","",""
21,40,"KHM","Cambodia",1,"Bântéay Méanchey",3,"Ou Chrov",21,"Souphi",NA,"","Khum","Commune","",""
22,40,"KHM","Cambodia",1,"Bântéay Méanchey",4,"Phnum Srok",22,"Nam Tau",NA,"","Khum","Commune","",""
23,40,"KHM","Cambodia",1,"Bântéay Méanchey",4,"Phnum Srok",23,"Paoy Char",NA,"","Khum","Commune","",""
24,40,"KHM","Cambodia",1,"Bântéay Méanchey",4,"Phnum Srok",24,"Phnum Dei",NA,"","Khum","Commune","",""
25,40,"KHM","Cambodia",1,"Bântéay Méanchey",4,"Phnum Srok",25,"Ponley",NA,"","Khum","Commune","",""
26,40,"KHM","Cambodia",1,"Bântéay Méanchey",4,"Phnum Srok",26,"Spean Sraeng",NA,"","Khum","Commune","",""
27,40,"KHM","Cambodia",1,"Bântéay Méanchey",4,"Phnum Srok",27,"Srah Chik",NA,"","Khum","Commune","",""
28,40,"KHM","Cambodia",1,"Bântéay Méanchey",5,"Preah Netr Preah",28,"Chhnuor Mean Chey",NA,"","Khum","Commune","",""
29,40,"KHM","Cambodia",1,"Bântéay Méanchey",5,"Preah Netr Preah",29,"Chob Veari",NA,"","Khum","Commune","",""
30,40,"KHM","Cambodia",1,"Bântéay Méanchey",5,"Preah Netr Preah",30,"Phnum Lieb",NA,"","Khum","Commune","",""
31,40,"KHM","Cambodia",1,"Bântéay Méanchey",5,"Preah Netr Preah",31,"Prasat",NA,"","Khum","Commune","",""
32,40,"KHM","Cambodia",1,"Bântéay Méanchey",5,"Preah Netr Preah",32,"Preah Netr Preah",NA,"","Khum","Commune","",""
33,40,"KHM","Cambodia",1,"Bântéay Méanchey",5,"Preah Netr Preah",33,"Rohal",NA,"","Khum","Commune","",""
34,40,"KHM","Cambodia",1,"Bântéay Méanchey",5,"Preah Netr Preah",34,"Tean Kam",NA,"","Khum","Commune","",""
35,40,"KHM","Cambodia",1,"Bântéay Méanchey",5,"Preah Netr Preah",35,"Tuek Chour",NA,"","Khum","Commune","",""
36,40,"KHM","Cambodia",1,"Bântéay Méanchey",6,"Serei Saophoan",36,"Bos Sbov",NA,"","Khum","Commune","",""
37,40,"KHM","Cambodia",1,"Bântéay Méanchey",6,"Serei Saophoan",37,"Kampong Svay",NA,"","Khum","Commune","",""
38,40,"KHM","Cambodia",1,"Bântéay Méanchey",6,"Serei Saophoan",38,"Kaoh Pong Satv",NA,"","Khum","Commune","",""
39,40,"KHM","Cambodia",1,"Bântéay Méanchey",6,"Serei Saophoan",39,"Mkak",NA,"","Khum","Commune","",""
40,40,"KHM","Cambodia",1,"Bântéay Méanchey",6,"Serei Saophoan",40,"Ou Ambel",NA,"","Khum","Commune","",""
41,40,"KHM","Cambodia",1,"Bântéay Méanchey",6,"Serei Saophoan",41,"Phniet",NA,"","Khum","Commune","",""
42,40,"KHM","Cambodia",1,"Bântéay Méanchey",6,"Serei Saophoan",42,"Preah Ponlea",NA,"","Khum","Commune","",""
43,40,"KHM","Cambodia",1,"Bântéay Méanchey",6,"Serei Saophoan",43,"Tuek Thla",NA,"","Khum","Commune","",""
44,40,"KHM","Cambodia",1,"Bântéay Méanchey",7,"Svay Chek",44,"Phkoam",NA,"","Khum","Commune","",""
45,40,"KHM","Cambodia",1,"Bântéay Méanchey",7,"Svay Chek",45,"Roluos",NA,"","Khum","Commune","",""
46,40,"KHM","Cambodia",1,"Bântéay Méanchey",7,"Svay Chek",46,"Sarongk",NA,"","Khum","Commune","",""
47,40,"KHM","Cambodia",1,"Bântéay Méanchey",7,"Svay Chek",47,"Sla Kram",NA,"","Khum","Commune","",""
48,40,"KHM","Cambodia",1,"Bântéay Méanchey",7,"Svay Chek",48,"Svay Chek",NA,"","Khum","Commune","",""
49,40,"KHM","Cambodia",1,"Bântéay Méanchey",7,"Svay Chek",49,"Ta Baen",NA,"","Khum","Commune","",""
50,40,"KHM","Cambodia",1,"Bântéay Méanchey",7,"Svay Chek",50,"Ta Phou",NA,"","Khum","Commune","",""
51,40,"KHM","Cambodia",1,"Bântéay Méanchey",7,"Svay Chek",51,"Treas",NA,"","Khum","Commune","",""
52,40,"KHM","Cambodia",1,"Bântéay Méanchey",8,"Thma Puok",52,"Banteay Chhmar",NA,"","Khum","Commune","",""
53,40,"KHM","Cambodia",1,"Bântéay Méanchey",8,"Thma Puok",53,"Kouk Kakthen",NA,"","Khum","Commune","",""
54,40,"KHM","Cambodia",1,"Bântéay Méanchey",8,"Thma Puok",54,"Kouk Romiet",NA,"","Khum","Commune","",""
55,40,"KHM","Cambodia",1,"Bântéay Méanchey",8,"Thma Puok",55,"Kumru",NA,"","Khum","Commune","",""
56,40,"KHM","Cambodia",1,"Bântéay Méanchey",8,"Thma Puok",56,"Phum Thmei",NA,"","Khum","Commune","",""
57,40,"KHM","Cambodia",1,"Bântéay Méanchey",8,"Thma Puok",57,"Thma Puok",NA,"","Khum","Commune","",""
58,40,"KHM","Cambodia",2,"Batdâmbâng",9,"Aek Phnum",58,"Kaoh Chiveang",NA,"","Khum","Commune","",""
59,40,"KHM","Cambodia",2,"Batdâmbâng",9,"Aek Phnum",59,"Peam Aek",NA,"","Khum","Commune","",""
60,40,"KHM","Cambodia",2,"Batdâmbâng",9,"Aek Phnum",60,"Preaek Khpob",NA,"","Khum","Commune","",""
61,40,"KHM","Cambodia",2,"Batdâmbâng",9,"Aek Phnum",61,"Preaek Luong",NA,"","Khum","Commune","",""
62,40,"KHM","Cambodia",2,"Batdâmbâng",9,"Aek Phnum",62,"Preaek Norint",NA,"","Khum","Commune","",""
63,40,"KHM","Cambodia",2,"Batdâmbâng",9,"Aek Phnum",63,"Prey Chas",NA,"","Khum","Commune","",""
64,40,"KHM","Cambodia",2,"Batdâmbâng",9,"Aek Phnum",64,"Samraong Knong",NA,"","Khum","Commune","",""
65,40,"KHM","Cambodia",2,"Batdâmbâng",10,"Banan",65,"Bay Damram",NA,"","Khum","Commune","",""
66,40,"KHM","Cambodia",2,"Batdâmbâng",10,"Banan",66,"Chaeng Mean Chey",NA,"","Khum","Commune","",""
67,40,"KHM","Cambodia",2,"Batdâmbâng",10,"Banan",67,"Chheu Teal",NA,"","Khum","Commune","",""
68,40,"KHM","Cambodia",2,"Batdâmbâng",10,"Banan",68,"Kantueu Muoy",NA,"","Khum","Commune","",""
69,40,"KHM","Cambodia",2,"Batdâmbâng",10,"Banan",69,"Kantueu Pir",NA,"","Khum","Commune","",""
70,40,"KHM","Cambodia",2,"Batdâmbâng",10,"Banan",70,"Phnum Sampov",NA,"","Khum","Commune","",""
71,40,"KHM","Cambodia",2,"Batdâmbâng",10,"Banan",71,"Snoeng",NA,"","Khum","Commune","",""
72,40,"KHM","Cambodia",2,"Batdâmbâng",10,"Banan",72,"Ta Kream",NA,"","Khum","Commune","",""
73,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang",73,"Anlong Run",NA,"","Khum","Commune","",""
74,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang",74,"Bansay Traeng",NA,"","Khum","Commune","",""
