"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","CCN_4","CCA_4","TYPE_4","ENGTYPE_4"
1,40,"KHM","Cambodia",1,"Bântéay Méanchey",1,"Malai",1,"n.a. ( 192)",1,"","",NA,"","Phum","Village"
2,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",2,"Banteay Neang",2,"Ou Snguot","",NA,"","Phum","Village"
3,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",3,"Bat Trang",3,"Khtum Reay Lech","",NA,"","Phum","Village"
4,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",4,"Chamnaom",4,"Roung Kou Chong","",NA,"","Phum","Village"
5,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",5,"Kouk Ballangk",5,"Phat Sanday","",NA,"","Phum","Village"
6,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",6,"Koy Maeng",6,"Sdei Kraom","",NA,"","Phum","Village"
7,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",7,"Ou Prasat",7,"Pou Rieng","",NA,"","Phum","Village"
8,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",8,"Phnum Touch",8,"Boeng Tras","",NA,"","Phum","Village"
9,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",9,"Rohat Tuek",9,"Rohat Tuek","",NA,"","Phum","Village"
10,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",10,"Ruessei Kraok",10,"Praek Ropou","",NA,"","Phum","Village"
11,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",11,"Sambuor",11,"Chaek Angkar","",NA,"","Phum","Village"
12,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",12,"Soea",12,"Kouk Samraong","",NA,"","Phum","Village"
13,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",13,"Srah Reang",13,"Ta Chan","",NA,"","Phum","Village"
14,40,"KHM","Cambodia",1,"Bântéay Méanchey",2,"Mongkol Borei",14,"Ta Lam",14,"Boeng Khleang Le","",NA,"","Phum","Village"
15,40,"KHM","Cambodia",1,"Bântéay Méanchey",3,"Ou Chrov",15,"Changha",15,"Ta Phaok","",NA,"","Phum","Village"
16,40,"KHM","Cambodia",1,"Bântéay Méanchey",3,"Ou Chrov",16,"Koub",16,"Souriya","",NA,"","Phum","Village"
17,40,"KHM","Cambodia",1,"Bântéay Méanchey",3,"Ou Chrov",17,"Kuttasat",17,"Kuttaksat","",NA,"","Phum","Village"
18,40,"KHM","Cambodia",1,"Bântéay Méanchey",3,"Ou Chrov",18,"Nimitt",18,"Nimit Thmei","",NA,"","Phum","Village"
19,40,"KHM","Cambodia",1,"Bântéay Méanchey",3,"Ou Chrov",19,"Samraong",19,"Banlech","",NA,"","Phum","Village"
20,40,"KHM","Cambodia",1,"Bântéay Méanchey",3,"Ou Chrov",20,"Soengh",20,"Yeang Dangkum","",NA,"","Phum","Village"
21,40,"KHM","Cambodia",1,"Bântéay Méanchey",3,"Ou Chrov",21,"Souphi",21,"Kouk Chak","",NA,"","Phum","Village"
22,40,"KHM","Cambodia",1,"Bântéay Méanchey",4,"Phnum Srok",22,"Nam Tau",22,"Nam Tau","",NA,"","Phum","Village"
23,40,"KHM","Cambodia",1,"Bântéay Méanchey",4,"Phnum Srok",23,"Paoy Char",23,"Trapeang Thma Ka","",NA,"","Phum","Village"
24,40,"KHM","Cambodia",1,"Bântéay Méanchey",4,"Phnum Srok",24,"Phnum Dei",24,"Bos Sbov","",NA,"","Phum","Village"
25,40,"KHM","Cambodia",1,"Bântéay Méanchey",4,"Phnum Srok",25,"Ponley",25,"Ponley Cheung","",NA,"","Phum","Village"
26,40,"KHM","Cambodia",1,"Bântéay Méanchey",4,"Phnum Srok",26,"Spean Sraeng",26,"Rouk","",NA,"","Phum","Village"
27,40,"KHM","Cambodia",1,"Bântéay Méanchey",4,"Phnum Srok",27,"Srah Chik",27,"Chouk Kruos","",NA,"","Phum","Village"
28,40,"KHM","Cambodia",1,"Bântéay Méanchey",5,"Preah Netr Preah",28,"Chhnuor Mean Chey",28,"Thma Koul","",NA,"","Phum","Village"
29,40,"KHM","Cambodia",1,"Bântéay Méanchey",5,"Preah Netr Preah",29,"Chob Veari",29,"Krasang Thmei","",NA,"","Phum","Village"
30,40,"KHM","Cambodia",1,"Bântéay Méanchey",5,"Preah Netr Preah",30,"Phnum Lieb",30,"Tro Louk Lech","",NA,"","Phum","Village"
31,40,"KHM","Cambodia",1,"Bântéay Méanchey",5,"Preah Netr Preah",31,"Prasat",31,"Bat Trang","",NA,"","Phum","Village"
32,40,"KHM","Cambodia",1,"Bântéay Méanchey",5,"Preah Netr Preah",32,"Preah Netr Preah",32,"Paoy Kdoeang","",NA,"","Phum","Village"
33,40,"KHM","Cambodia",1,"Bântéay Méanchey",5,"Preah Netr Preah",33,"Rohal",33,"Rohal","",NA,"","Phum","Village"
34,40,"KHM","Cambodia",1,"Bântéay Méanchey",5,"Preah Netr Preah",34,"Tean Kam",34,"Tean Kam Lech","",NA,"","Phum","Village"
35,40,"KHM","Cambodia",1,"Bântéay Méanchey",5,"Preah Netr Preah",35,"Tuek Chour",35,"Thmei","",NA,"","Phum","Village"
36,40,"KHM","Cambodia",1,"Bântéay Méanchey",6,"Serei Saophoan",36,"Bos Sbov",36,"Boeng Veaeng","",NA,"","Phum","Village"
37,40,"KHM","Cambodia",1,"Bântéay Méanchey",6,"Serei Saophoan",37,"Kampong Svay",37,"Kang Va","",NA,"","Phum","Village"
38,40,"KHM","Cambodia",1,"Bântéay Méanchey",6,"Serei Saophoan",38,"Kaoh Pong Satv",38,"Ta Sokh","",NA,"","Phum","Village"
39,40,"KHM","Cambodia",1,"Bântéay Méanchey",6,"Serei Saophoan",39,"Mkak",39,"Ta Ma","",NA,"","Phum","Village"
40,40,"KHM","Cambodia",1,"Bântéay Méanchey",6,"Serei Saophoan",40,"Ou Ambel",40,"Ou Ambel","",NA,"","Phum","Village"
41,40,"KHM","Cambodia",1,"Bântéay Méanchey",6,"Serei Saophoan",41,"Phniet",41,"Kantuot","",NA,"","Phum","Village"
